domain,attack_vector,threat_actor,malware_family,expected_verdict,risk_score,entropy,consonant_ratio,digit_ratio,subdomain_depth,tld_reputation,mitre_technique,dns_query_type,top_shap_1,top_shap_2,top_shap_3,analyst_summary
stackoverflow.com,benign,Stack Overflow,N/A,ALLOW,0,3.69,2.2,0.0,1,0.0,N/A,A,Developer Knowledge Base (-0.120),Compound Dictionary Word (-0.060),Clean TLD (-0.020),Developer community knowledge base; verified clean pass.
xq9m2kz7v4naplq.top,dga,FIN7 / Wizard Spider,Cryptolocker,BLOCK,95,4.04,6.0,0.21,1,0.85,T1568.002,A,Shannon Entropy 4.82 (+0.312),Bi-gram Perplexity Rarity (+0.228),Consonant Cluster 6 (+0.184),Cryptolocker ransomware DGA rendezvous; severe consonant clustering on high-risk .top TLD.
wclp0al.biz,dga,Conti Ransomware Group,Cryptolocker,BLOCK,91,3.28,3.5,0.09,1,0.7,T1568.002,A,High Consonant Ratio (+0.265),Shannon Entropy 4.41 (+0.220),Disposible TLD (+0.150),Algorithmic seed string generated during host encryption routine; automated sinkholing applied.
m7t0hw7.info,dga,LockBit Ransomware Affiliate,LockBit 3.0,BLOCK,93,3.42,3.0,0.25,1,0.65,T1568.002,A,Interleaved Digit Ratio 28% (+0.240),Bigram Transition Deficit (+0.210),Entropy 4.35 (+0.195),LockBit 3.0 secondary rendezvous domain; high digit-letter interleaving.
i2c30s8.biz,dga,BlackCat / ALPHV,Cryptolocker-v2,BLOCK,92,3.28,2.0,0.36,1,0.7,T1568.002,A,High Digit Ingestion (+0.280),Shannon Entropy 4.52 (+0.230),Unregistered Authority (+0.140),Ransomware telemetry check-in beacon; zero historical resolution prior to 24h.
ug7mr22.info,dga,DarkSide Successor,Cryptolocker-v3,BLOCK,89,3.42,1.67,0.25,1,0.6,T1568.002,A,Digit-Consonant Run (+0.210),Shannon Entropy 4.28 (+0.205),Low Vowel Frequency (+0.165),Data exfiltration staging rendezvous domain generated via pseudo-random arithmetic seed.
anplad2.biz,dga,Ryuk / Conti Team,Cryptolocker,BLOCK,87,3.28,2.0,0.09,1,0.7,T1568.002,A,Bi-gram Rarity (+0.230),Consonant Density (+0.190),Short SLD Length (+0.120),Ransomware key exchange rendezvous; flagged by 150-tree Random Forest lexical engine.
j2oh4ja.biz,dga,Black Basta,Cryptolocker,BLOCK,90,3.28,1.67,0.18,1,0.7,T1568.002,A,Character Alternation Anomaly (+0.245),Shannon Entropy 4.38 (+0.215),TLD Risk (+0.140),Algorithmic C2 rendezvous domain; automatic active response quarantine triggered.
vpe3e43.info,dga,Royal Ransomware,Cryptolocker-NG,BLOCK,91,3.25,1.0,0.25,1,0.6,T1568.002,A,Longest Digit Run 3 (+0.195),Shannon Entropy 4.40 (+0.240),Low Tranco Prior (+0.160),Ransomware payload drop rendezvous; excessive numeric character density in SLD.
zvaac5c.ru,dga,FIN12 Financial Threat,Cryptolocker-RU,BLOCK,94,2.92,1.67,0.1,1,0.8,T1568.002,A,Shannon Entropy 4.52 (+0.260),TLD Risk Russian Fed (+0.180),Consonant Cluster (+0.170),C2 rendezvous host resolving to bulletproof hosting IP range; geographical risk signal.
lkbt99qzx77a.top,dga,LockBit 3.0 Campaign,LockBit-DGA,BLOCK,96,3.62,4.5,0.25,1,0.85,T1568.002,A,Hex Digit Run (+0.290),Shannon Entropy 4.75 (+0.280),High-Risk Registrar (+0.190),LockBit 3.0 ransomware staging rendezvous with embedded victim identifier.
blckct-stg-node.biz,dga,BlackCat / ALPHV,BlackCat-Relay,BLOCK,92,3.83,4.33,0.0,1,0.7,T1568.002,A,Hyphenated Consonant Run (+0.260),TLD Abuse Heuristic (+0.210),Entropy 4.30 (+0.180),ALPHV ransomware staging and key escrow node.
ransom-pay-portal77.cc,dga,Play Ransomware,RansomLocker,BLOCK,94,3.7,2.4,0.09,1,0.8,T1568.002,A,Ransomware Keyword Packaging (+0.330),Abusive TLD (+0.240),Digit Suffix (+0.180),Extortion negotiation and bitcoin payment gateway drop domain.
zk981va2m0q.biz,dga,Conficker Working Group,Conficker-C,BLOCK,92,3.77,3.5,0.33,1,0.7,T1568.002,A,Digit Ratio 36% (+0.210),Shannon Entropy 4.65 (+0.285),Low Vowel Frequency (+0.170),Classic Conficker pseudo-random generation algorithm; excessive numeric substitution.
oqfobwz.net,dga,Mirai / Mozi Botnet,Mirai-DGA,BLOCK,88,3.28,2.33,0.0,1,0.2,T1568.002,A,High Bi-gram Rarity (+0.245),Shannon Entropy 4.12 (+0.190),Low English Prob (+0.155),Mirai botnet IoT command rendezvous domain; anomalous unigram/bigram distribution.
lhewu.net,dga,Conficker Variant,Conficker-B,BLOCK,85,2.95,1.67,0.0,1,0.2,T1568.002,A,Consonant Run 4 (+0.220),Unpronounceable Phonetics (+0.190),Unseen Family (+0.130),Conficker family B pseudo-random generator; low vowel count in 5-char label.
zoksr.net,dga,Conficker Variant,Conficker-A,BLOCK,86,3.17,3.0,0.0,1,0.2,T1568.002,A,Phonetic Rarity (+0.240),Shannon Entropy 3.92 (+0.180),Zero Vowel Chain (+0.150),Early-generation Conficker algorithmic beacon; catches via 1st-order Markov perplexity.
fromhisthe.net,dga,Suppobox Botnet,Suppobox,BLOCK,86,3.38,2.25,0.0,1,0.2,T1568.002,A,Word Concatenation Anomaly (+0.220),Unregistered C2 (+0.180),Unusual Length (+0.140),Suppobox dictionary-concatenation DGA; caught via n-gram sequence anomaly model.
andthathave.net,dga,Suppobox Botnet,Suppobox,BLOCK,84,2.87,1.8,0.0,1,0.2,T1568.002,A,Compound Word DGA Signature (+0.215),Low Tranco Prior (+0.170),Low Historical Age (+0.130),Suppobox English pronoun/verb concatenation DGA; detected via lexical sequence engine.
rockfire.org,dga,Matsnu Banking Malware,Matsnu,BLOCK,83,3.02,1.75,0.0,1,0.1,T1568.002,A,Noun-Noun DGA Heuristic (+0.210),High Domain Age Variance (+0.160),Anomalous TTL (+0.120),Matsnu dictionary-based DGA; generates two-noun combinations from embedded wordlist.
headlighttable.org,dga,Suppobox Variant,Suppobox,BLOCK,82,3.5,1.83,0.0,1,0.1,T1568.002,A,Synthetic Word Pair (+0.195),Low Authority Score (+0.155),Zero Subdomain Depth (-0.020),Dictionary-based algorithmic generation; detected via bigram perplexity divergence.
emot-payload-drop88.info,dga,TA542 (Mummy Spider),Emotet,BLOCK,95,3.83,1.38,0.08,1,0.65,T1568.002,A,Malware C2 Pattern (+0.310),Numeric Suffix (+0.220),TLD Risk (+0.180),Emotet modular banking trojan epoch 5 command listener rendezvous.
trckbt-beacon-9.su,dga,Wizard Spider,TrickBot,BLOCK,94,3.73,2.5,0.06,1,0.85,T1568.002,A,Known Trojan Signature (+0.350),Abusive Soviet TLD '.su' (+0.270),Entropy 4.22 (+0.180),TrickBot banking trojan gtag sync listener domain.
qakbot-recon-02.click,dga,Black Basta / QakBot,QakBot (QBot),BLOCK,93,3.88,2.2,0.1,1,0.7,T1568.002,A,Malware Bot Rendezvous (+0.320),Disposable TLD (+0.240),Hyphenated Structure (+0.160),QakBot banking malware reconnaissance and proxy routing domain.
necurs-sync-99.top,dga,Necurs Botnet,Necurs-DGA,BLOCK,95,3.61,3.33,0.11,1,0.85,T1568.002,A,High-Volume Spam Botnet (+0.340),Algorithmic Suffix (+0.250),TLD Risk (+0.200),Necurs spam & credential-stuffing botnet master controller rendezvous.
tinba-bank-sync.biz,dga,Tinba (Tiny Banker),Tinba-DGA,BLOCK,92,3.43,3.0,0.0,1,0.7,T1568.002,A,Banking Trojan Marker (+0.320),TLD Risk (+0.230),Entropy 4.15 (+0.180),Tinba banker man-in-the-browser credential exfiltration rendezvous.
rnicrosoft.com,typosquatting,APT29 / Nobelium,Spearphishing Portal,FLAG,82,3.18,2.25,0.0,1,0.1,T1566.002,A,Homoglyph Substitution 'rn'->'m' (+0.340),Brand Levenshtein Dist=1 (+0.290),Low Tranco Rank (+0.110),Deceptive visual confusable targeting Microsoft login; credential harvesting lure.
g00gle-security.com,typosquatting,Lazarus Group Phishing,PhishKit-v4,FLAG,78,3.83,2.0,0.11,1,0.2,T1566.002,A,Brand Impersonation 'google' (+0.310),Numeral Leetspeak '00' (+0.220),Hyphen Packaging (+0.130),Phishing portal mimicking Google Account Security; numeral 00 character substitution.
paypa1-update.com,typosquatting,FIN7 Financial Lure,FakePaymentPortal,FLAG,84,3.53,1.33,0.06,1,0.4,T1566.002,A,Brand Target 'paypal' (+0.360),Character Replacement '1'->'l' (+0.250),Suspicious Sub-label (+0.120),Financial credential theft lure; lookalike character evasion against anti-phishing filters.
app1e-support-id.top,typosquatting,Smishing Operator,AppleID-Stealer,BLOCK,89,3.44,1.67,0.05,1,0.85,T1566.002,A,Brand Target 'apple' (+0.320),Suspicious TLD '.top' (+0.280),Character Replacement '1'->'l' (+0.190),High-confidence phishing campaign targeting Apple ID credentials on disposable .top TLD.
arnazon-orders.net,typosquatting,Scam Coalition,E-Commerce Phish,FLAG,76,3.31,1.67,0.0,1,0.3,T1566.002,A,Homoglyph 'rn'->'m' (+0.330),Brand Target 'amazon' (+0.270),E-Commerce Lure (+0.110),Order spoofing lure targeting Amazon customers; Latin confusable 'rn' sequence.
micros0ft-login.com,typosquatting,Storm-0558 Phishing,M365 Lure,FLAG,81,3.68,2.2,0.05,1,0.1,T1566.002,A,Numeral Substitution '0'->'o' (+0.320),Brand Target 'microsoft' (+0.290),Login Keyword (+0.110),Enterprise credential phish mimicking M365 authentication screen.
offic365-security.com,typosquatting,M365 Harvester,PhishKit-365,FLAG,83,3.88,1.67,0.14,1,0.1,T1566.002,A,Brand Target 'office365' (+0.350),Numeral Leetspeak '3'->'e' (+0.260),Security Keyword (+0.120),Sophisticated corporate phishing lure; target employee credential interception.
faceb00k-security.top,typosquatting,Social Credential Theft,FB-Phish,BLOCK,88,4.01,1.83,0.1,1,0.85,T1566.002,A,Brand Target 'facebook' (+0.340),Numeral '00' (+0.250),High-Risk TLD '.top' (+0.220),Social media account takeover lure hosted on abuse-heavy registrar.
netf1ix-billing.info,typosquatting,Subscription Scam,BillingPhish,FLAG,79,3.48,1.83,0.05,1,0.6,T1566.002,A,Brand Target 'netflix' (+0.330),Character '1'->'l' (+0.240),Billing Keyword (+0.120),Credit card harvesting lure imitating streaming service payment failure notification.
goog1e-auth.net,typosquatting,Credential Harvester,Google-OAuth-Fake,FLAG,80,3.37,1.0,0.07,1,0.2,T1566.002,A,Character '1'->'l' (+0.340),Brand Target 'google' (+0.300),Auth Keyword (+0.120),Deceptive OAuth login screen mimicking Google Workspace sign-in flow.
chasee-online-login.info,typosquatting,Banking Phishing Ring,ChasePhish,FLAG,82,3.49,1.1,0.0,1,0.6,T1566.002,A,Double Letter Typosquat 'ee' (+0.310),Brand Target 'chase' (+0.280),Banking Keyword (+0.140),Consumer banking credential phishing portal with duplicate character evasion.
wellsfarg0-auth.biz,typosquatting,Financial Phishing Ring,WellsPhish,FLAG,84,4.04,2.2,0.05,1,0.7,T1566.002,A,Numeral Substitution '0'->'o' (+0.330),Brand Target 'wellsfargo' (+0.290),TLD Risk (+0.150),High-confidence financial spearphishing domain targeting banking customers.
onedrive-file-share.top,typosquatting,Corporate Spearphishing,OneDriveLure,BLOCK,87,3.83,1.22,0.0,1,0.85,T1566.002,A,Brand Target 'onedrive' (+0.320),High-Risk TLD '.top' (+0.270),File Share Keyword (+0.140),Malicious macro-enabled document delivery portal mimicking Microsoft OneDrive.
github-verify-token.click,typosquatting,Developer Token Theft,GitPhish,FLAG,80,4.05,2.14,0.0,1,0.7,T1566.002,A,Brand Target 'github' (+0.310),Token Theft Keyword (+0.250),TLD Risk (+0.150),Phishing site designed to harvest personal access tokens from software developers.
slackk-workspace.cc,typosquatting,Corporate Espionage,SlackSpoof,FLAG,77,3.37,3.25,0.0,1,0.8,T1566.002,A,Double Character 'kk' (+0.300),Brand Target 'slack' (+0.280),Abusive TLD (+0.140),Fake Slack enterprise login portal targeting internal corporate communications.
YWJjZDEyMzQ1Ng==.attacker-c2.net,tunneling,Lazarus Group (Bluenoroff),Iodine Tunnel,BLOCK,94,4.54,5.25,0.06,2,0.6,T1071.004,TXT,Base64 Subdomain Payload (+0.350),Subdomain Length 24 chars (+0.260),High Shannon Entropy 4.91 (+0.220),Iodine DNS tunnelling exfiltration; base64 payload carried in TXT/CNAME sub-labels.
dGVzdHBheWxvYWQ1.c2.bad-demo.example,tunneling,Red Team Simulation,dnscat2,BLOCK,91,4.37,3.29,0.06,3,0.5,T1071.004,CNAME,Sliding Window Burst 15 QPS (+0.290),Subdomain Entropy 4.72 (+0.270),Hex/Base64 Marker (+0.190),dnscat2 encoded covert channel; repetitive high-entropy bursts in 60s window.
hex666f6f626172.tunnel.darknet.cc,tunneling,APT41 (Double Dragon),DNSExfiltrator,BLOCK,96,3.9,3.0,0.3,3,0.8,T1071.004,TXT,Hexadecimal Encoded Byte Stream (+0.330),High NXDOMAIN Frequency (+0.280),Long Sub-label Length (+0.210),Covert data exfiltration channel using raw hex byte sequences encoded in subdomains.
cGFzc3dvcmRzX2R1bXA=.covert.darknet.cc,tunneling,APT28 (Fancy Bear),Custom UDP Tunnel,BLOCK,95,4.29,6.75,0.08,3,0.8,T1071.004,TXT,Base64 Sensitive String (+0.360),Entropy Spike 4.88 (+0.250),Abnormal TXT Volume (+0.210),High-risk credential exfiltration attempt; base64 encoded credential dump in DNS query stream.
4141414142424242.exfil-stream.pw,tunneling,ShadowPad Operator,ShadowPad DNS Exfil,BLOCK,97,3.62,2.25,0.5,2,0.85,T1071.004,A,Raw ASCII Hex Stream (+0.340),Disposable TLD '.pw' (+0.270),Label Length 16 chars (+0.190),Enterprise exfiltration tunnel transporting structured memory artifacts via recursive queries.
syn-chunk-4892.dnscat.io,tunneling,dnscat2 Operator,dnscat2-raw,BLOCK,89,4.05,3.0,0.17,2,0.3,T1071.004,CNAME,dnscat Session Framing (+0.310),Sliding Window Volume (+0.240),Entropy 4.15 (+0.180),dnscat2 session synchronization handshake chunk; identified by behavioral sliding window.
chunk01.stage2.exfil-node.ru,tunneling,Turla Group,GPRS / DNS Tunnel,BLOCK,93,4.32,1.62,0.11,3,0.8,T1071.004,TXT,Multi-Label Fanout (+0.320),High Volume TXT Lookup (+0.270),TLD Geographic Risk (+0.190),Structured multi-chunk file exfiltration through recursive DNS resolvers.
chunk02.stage2.exfil-node.ru,tunneling,Turla Group,GPRS / DNS Tunnel,BLOCK,93,4.25,1.62,0.11,3,0.8,T1071.004,TXT,Multi-Label Fanout (+0.320),High Volume TXT Lookup (+0.270),TLD Geographic Risk (+0.190),Structured multi-chunk file exfiltration sequential packet #2.
chunk03.stage2.exfil-node.ru,tunneling,Turla Group,GPRS / DNS Tunnel,BLOCK,93,4.32,1.62,0.11,3,0.8,T1071.004,TXT,Multi-Label Fanout (+0.320),High Volume TXT Lookup (+0.270),TLD Geographic Risk (+0.190),Structured multi-chunk file exfiltration sequential packet #3.
7365637265742d6b6579.covert-dns.top,tunneling,FIN8 Team,DNSExfiltrator-v2,BLOCK,96,4.09,3.67,0.51,2,0.85,T1071.004,TXT,Hex Stream Detected (+0.350),High Shannon Entropy (+0.280),TLD Risk (+0.210),Hexadecimal string representing cryptographic private key exfiltration.
c2-beacon.dark-infra.cc,c2,APT29 (Nobelium),Cobalt Strike Beacon,BLOCK,98,3.62,2.0,0.04,2,0.9,T1071.001,A,URLhaus Threat Feed Match (+0.450),C2 Callback Signature (+0.320),Abnormal Query Interval (+0.150),Active Cobalt Strike C2 listener; verified hit in live STIX 2.1 Threat Intel database.
update.c2-pool.ru,c2,Lazarus Group (APT38),Botnet Controller,BLOCK,96,3.62,1.17,0.06,2,0.85,T1071.001,A,Known Botnet Controller (+0.420),Geo Anomaly Score (+0.220),High-Risk Registrar (+0.180),Malware command-and-control node; automatic active response quarantine triggered.
cs-stage-listener.xyz,c2,BlackCat / ALPHV,Cobalt Strike Malleable C2,BLOCK,97,3.75,2.6,0.0,1,0.85,T1071.001,A,Threat Intel Hash Match (+0.440),Malleable C2 Profile (+0.290),Disposable TLD (+0.160),Cobalt Strike malleable C2 profile listener staging point for lateral network movement.
flux-node-881.dynamic-dns.pw,c2,Storm-0978,Fast-Flux Botnet,BLOCK,95,4.16,3.0,0.11,2,0.85,T1583.001,A,Fast-Flux DNS Shuffling (+0.380),Rapid TTL Decay 60s (+0.260),High IP Churn Rate (+0.210),Fast-flux botnet domain rapidly rotating through compromised residential IP proxies.
beacon.apt29-relay.ru,c2,Cozy Bear (APT29),WellMess C2,BLOCK,98,3.88,1.29,0.1,2,0.85,T1071.001,A,Known State-Sponsored C2 (+0.460),STIX 2.1 IOC Indicator (+0.340),Geographic Risk (+0.170),Nation-state cyber espionage command relay node with verified IOC signature.
teamserver.redteam-test.top,c2,Red Team Staging,Sliver C2,BLOCK,93,3.28,1.67,0.0,2,0.85,T1071.001,A,C2 Framework Indicator (+0.360),TLD Risk (+0.240),Zero Whitelist Prior (+0.180),Sliver C2 teamserver staging endpoint for multi-operator red team campaigns.
deaddrop-resolver.ru,c2,Sandworm / GRU,BlackEnergy C2,BLOCK,97,3.35,1.57,0.0,1,0.85,T1071.001,TXT,Dead-Drop Resolver Technique (+0.410),Encrypted TXT Record Response (+0.310),Threat Intel (+0.190),Dead-drop DNS resolving channel where compromised hosts receive encrypted command payloads in TXT responses.
